yoda-crypter_accesschk.exe,a0x0040c429call_0x00414ad4
yoda-crypter_Autoruns.exe,None
yoda-crypter_Diskmon.exe,a0x0040b4b8pushl_ebp
yoda-crypter_Listdlls.exe,a0x00409666call_0x00414903
yoda-crypter_Kalmuri.exe,None
yoda-crypter_sigcheck.exe,None
yoda-crypter_Contig.exe,a0x00407f58call_0x00413cd6
yoda-crypter_ldmdump.exe,a0x00403024pushl_ebp
yoda-crypter_dfrgui.exe,None
yoda-crypter_procdump.exe,a0x004171e7call_0x00421d99
yoda-crypter_pagedfrg.exe,a0x00403d50pushl_ebp
yoda-crypter_FullEventLogView.exe,a0x00411228pushl_0x70UINT8
yoda-crypter_PsLoggedon.exe,a0x00405926call_0x0040ca32
yoda-crypter_PsService.exe,a0x00407f52call_0x0040ee6d
yoda-crypter_streams.exe,a0x00404a16call_0x0040a24b
yoda-crypter_ShareEnum.exe,a0x00409013pushl_ebp
yoda-crypter_pywin32-221.win32-py2.7.exe,None
yoda-crypter_calc.exe,None
yoda-crypter_PsExec.exe,a0x00409de6call_0x00411500
yoda-crypter_pendmoves.exe,a0x00404452call_0x0040a0f7
yoda-crypter_HashCalc.exe,a0x00411e58pushl_ebp
yoda-crypter_EventLogChannelsView.exe,a0x0040e52epushl_0x70UINT8
yoda-crypter_DarkNamer.exe,None
yoda-crypter_autorunsc.exe,None
yoda-crypter_Cacheset.exe,a0x004024a2pushl_ebp
yoda-crypter_PEview.exe,a0x00401000call_0x004010dc
yoda-crypter_pssuspend.exe,a0x004074fecall_0x0040de85
yoda-crypter_logonsessions.exe,a0x00405f5bcall_0x0040e5f5
yoda-crypter_Hash.exe,a0x0040532cpushl_ebp
yoda-crypter_PUTTYGEN_32.EXE,None
yoda-crypter_hex2dec.exe,a0x004047afcall_0x0040b7c1
yoda-crypter_dxwebsetup.exe,a0x01005a5epushl_ebp
yoda-crypter_psshutdown.exe,a0x0040677fcall_0x0040d869
yoda-crypter_LoadOrd.exe,a0x00404e14call_0x0040a823
yoda-crypter_whois.exe,None
yoda-crypter_DTCPing.exe,a0x0100645ccall_0x0100646b
yoda-crypter_psfile.exe,a0x004054a0call_0x0040c3c8
yoda-crypter_notmyfault.exe,a0x00404f25call_0x0040ad0e
yoda-crypter_FolderTimeUpdate.exe,a0x0040c3a6pushl_0x70UINT8
yoda-crypter_Start_Here_Win.exe,None
yoda-crypter_ZoomIt.exe,None
yoda-crypter_strings.exe,a0x004058a6call_0x0040bee8
yoda-crypter_ESEDatabaseView.exe,a0x0040feeapushl_0x70UINT8
yoda-crypter_TaskSchedulerView.exe,a0x0040e1d0pushl_0x70UINT8
yoda-crypter_Winobj.exe,None
yoda-crypter_ctrl2cap.exe,a0x0040221apushl_ebp
yoda-crypter_DiskView.exe,a0x0040c983call_0x00417557
yoda-crypter_du.exe,a0x004068c9call_0x0040e5f0
yoda-crypter_FindLinks.exe,a0x00404c99call_0x0040a714
yoda-crypter_diskext.exe,a0x0040480ccall_0x0040a3e2
yoda-crypter_pskill.exe,a0x0040763ecall_0x0040e000
yoda-crypter_LoadOrdC.exe,a0x00404de2call_0x0040c0a3
yoda-crypter_psping.exe,a0x004115cccall_0x004198bf
yoda-crypter_Desktops.exe,a0x004046c6call_0x004089c4
yoda-crypter_PortableWinCDEmu-4.0.exe,a0x0041216acall_0x00417c27
yoda-crypter_md5v10.exe,a0x00402c97call_0x004081fc
yoda-crypter_ntfsinfo.exe,a0x004046afcall_0x0040a533
yoda-crypter_psloglist.exe,a0x00409955call_0x00414487
yoda-crypter_AccessEnum.exe,a0x00407a98pushl_ebp
yoda-crypter_sdelete.exe,a0x0040699fcall_0x0040d4ea
yoda-crypter_FileTypesMan.exe,a0x004109f0pushl_0x70UINT8
yoda-crypter_ru.exe,a0x0040570ccall_0x0040b2c6
yoda-crypter_portmon.exe,a0x00413b0ecall_0x0041f959
yoda-crypter_gc.exe,None
yoda-crypter_OpenedFilesView.exe,a0x0040fc10pushl_0x70UINT8
yoda-crypter_pipelist.exe,a0x0040550bcall_0x0040dbab
yoda-crypter_livekd.exe,a0x00409663call_0x0040fcae
yoda-crypter_RegDelNull.exe,a0x00405426call_0x0040b428
yoda-crypter_Testlimit.exe,None
yoda-crypter_pslist.exe,a0x00409bbecall_0x0041270c
yoda-crypter_handle.exe,a0x00407336call_0x0040f93f
yoda-crypter_sync.exe,a0x004049fecall_0x0040a3a4
yoda-crypter_adrestore.exe,a0x00402471pushl_ebp
yoda-crypter_Autologon.exe,a0x00403980call_0x00408490
yoda-crypter_ShellRunas.exe,a0x00403ba0call_0x00407acc
yoda-crypter_Coreinfo.exe,a0x00407474call_0x0040ef2e
yoda-crypter_mtinst.exe,None
yoda-crypter_PsInfo.exe,a0x0040a0cfcall_0x004138aa
yoda-crypter_Volumeid.exe,None
yoda-crypter_FastHash_kr.exe,a0x0041dffapushl_0x60UINT8
yoda-crypter_DDConfigCA.exe,None
yoda-crypter_sysexp.exe,a0x0040acb2pushl_0x70UINT8
yoda-crypter_md5v11027.exe,a0x004039d8pushl_ebx
yoda-crypter_Hasher.exe,a0x00482628pushl_ebp
yoda-crypter_PsGetsid.exe,a0x00407ecbcall_0x00410f29
yoda-crypter_md5v11.exe,a0x004039d8pushl_ebx
yoda-crypter_Clockres.exe,a0x00404002call_0x0040a529
yoda-crypter_efsdump.exe,a0x00402138pushl_ebp
yoda-crypter_InstalledPackagesView.exe,a0x0040d42apushl_0x70UINT8
yoda-crypter_idafree50.exe,None
yoda-crypter_Tcpvcon.exe,None
yoda-crypter_movefile.exe,a0x00403f4bcall_0x00409a84
yoda-crypter_Tcpview.exe,a0x004149d8call_0x0041f6b3
yoda-crypter_pspasswd.exe,a0x00405be3call_0x0040c67e
yoda-crypter_md5v11026.exe,a0x004039d8pushl_ebx
yoda-crypter_RAMMap.exe,a0x0041ab3fcall_0x00423ec8
yoda-crypter_md5v12005.exe,a0x004039d8pushl_ebx
yoda-crypter_junction.exe,a0x004064accall_0x0040e19a
yoda-crypter_ADExplorer.exe,a0x004149eccall_0x0041c1ab
yoda-crypter_regjump.exe,a0x00404256call_0x00407e3c
yoda-crypter_notmyfaultc.exe,a0x00405810call_0x0040be0e
yoda-crypter_Dbgview.exe,a0x00415757call_0x00421820
